id_bueiro,regiao,obstrucao_sensor_percentual,previsao_chuva_24h_mm,historico_alagamento_regiao,risco_enchente_alvo
BUE-0642,Centro,75,116,3,1
BUE-0643,Centro,35,25,9,0
BUE-0644,Zona Norte,98,67,10,1
BUE-0645,Centro,51,33,5,0
BUE-0646,Zona Leste,75,51,10,1
BUE-0647,Zona Norte,6,111,10,1
BUE-0648,Centro,28,81,9,0
BUE-0649,Zona Sul,10,103,2,0
BUE-0650,Zona Leste,32,98,1,0
BUE-0651,Zona Leste,5,104,5,0
BUE-0652,Zona Leste,78,92,10,1
BUE-0653,Zona Norte,31,51,4,0
BUE-0654,Centro,50,28,9,0
BUE-0655,Centro,74,37,4,0
BUE-0656,Zona Sul,57,41,9,1
BUE-0657,Zona Sul,86,20,4,0
BUE-0658,Zona Leste,25,41,9,0
BUE-0659,Zona Sul,97,12,4,0
BUE-0660,Zona Norte,45,112,2,1
BUE-0661,Centro,97,104,6,1
BUE-0662,Zona Leste,28,63,5,0
BUE-0663,Zona Sul,3,16,3,0
BUE-0664,Zona Norte,80,119,1,1
BUE-0665,Zona Norte,98,8,8,1
BUE-0666,Zona Sul,12,40,0,0
BUE-0667,Centro,38,0,10,0
BUE-0668,Zona Sul,14,1,3,0
BUE-0669,Zona Leste,28,59,0,0
BUE-0670,Zona Sul,28,47,5,0
BUE-0671,Zona Norte,74,28,3,0
BUE-0672,Zona Sul,31,96,4,0
BUE-0673,Centro,1,9,4,0
BUE-0674,Zona Oeste,46,113,8,1
BUE-0675,Zona Sul,77,57,0,0
BUE-0676,Centro,83,59,1,0
BUE-0677,Centro,21,103,5,0
BUE-0678,Zona Norte,74,20,4,0
BUE-0679,Centro,26,27,10,0
BUE-0680,Centro,66,74,6,0
BUE-0681,Centro,80,118,2,1
BUE-0682,Centro,55,33,2,0
BUE-0683,Zona Leste,91,7,9,0
BUE-0684,Zona Leste,92,58,1,0
BUE-0685,Zona Norte,20,85,2,0
BUE-0686,Zona Sul,46,71,9,0
BUE-0687,Centro,79,48,0,0
BUE-0688,Zona Sul,100,78,4,1
BUE-0689,Zona Sul,58,16,4,0
BUE-0690,Zona Norte,83,59,10,1
BUE-0691,Centro,5,86,6,0
BUE-0692,Centro,18,87,3,0
BUE-0693,Zona Oeste,56,44,2,0
BUE-0694,Zona Sul,68,82,0,0
BUE-0695,Zona Sul,2,68,7,0
BUE-0696,Zona Leste,0,31,2,0
BUE-0697,Zona Oeste,57,43,1,0
BUE-0698,Zona Leste,37,64,10,0
BUE-0699,Zona Leste,14,86,3,0
BUE-0700,Zona Leste,33,100,2,0
BUE-0701,Zona Norte,60,7,0,0
BUE-0702,Zona Norte,34,76,2,0
BUE-0703,Zona Leste,63,71,1,0
BUE-0704,Zona Oeste,24,86,7,1
BUE-0705,Zona Sul,23,42,5,0
BUE-0706,Zona Oeste,11,0,8,0
BUE-0707,Centro,17,108,7,0
BUE-0708,Zona Norte,14,50,9,0
BUE-0709,Zona Sul,79,23,2,0
BUE-0710,Zona Sul,26,98,4,0
BUE-0711,Centro,71,23,6,0
BUE-0712,Centro,59,16,4,0
BUE-0713,Zona Leste,45,4,7,0
BUE-0714,Zona Norte,88,19,4,0
BUE-0715,Zona Norte,16,20,0,0
BUE-0716,Zona Oeste,92,103,4,1
BUE-0717,Zona Leste,52,57,3,1
BUE-0718,Zona Leste,7,30,5,0
BUE-0719,Zona Leste,78,109,2,1
BUE-0720,Zona Leste,26,99,10,1
BUE-0721,Zona Norte,45,10,4,0
BUE-0722,Zona Norte,49,51,1,0
BUE-0723,Zona Leste,70,14,10,0
BUE-0724,Zona Oeste,2,82,5,0
BUE-0725,Zona Sul,92,6,5,0
BUE-0726,Zona Sul,63,114,4,1
BUE-0727,Zona Oeste,43,27,5,0
BUE-0728,Zona Leste,52,50,10,0
BUE-0729,Zona Norte,23,106,6,1
BUE-0730,Zona Sul,59,57,4,0
BUE-0731,Centro,2,4,0,0
BUE-0732,Centro,19,4,7,0
BUE-0733,Zona Oeste,45,93,3,1
BUE-0734,Zona Leste,14,117,8,1
BUE-0735,Zona Sul,24,95,9,1
BUE-0736,Zona Leste,93,7,5,0
BUE-0737,Zona Sul,77,63,0,0
BUE-0738,Zona Oeste,70,9,2,0
BUE-0739,Zona Oeste,16,37,2,0
BUE-0740,Centro,83,110,9,1
BUE-0741,Zona Leste,99,95,3,1
BUE-0742,Centro,8,111,5,1
BUE-0743,Zona Leste,37,91,6,1
BUE-0744,Centro,47,80,9,1
BUE-0745,Zona Norte,59,94,3,1
BUE-0746,Zona Norte,62,7,5,0
BUE-0747,Zona Norte,85,103,10,1
BUE-0748,Zona Norte,1,24,0,0
BUE-0749,Zona Sul,87,72,7,1
BUE-0750,Zona Norte,71,65,6,1
BUE-0751,Zona Oeste,10,78,10,1
BUE-0752,Zona Oeste,63,49,10,0
BUE-0753,Zona Sul,76,66,8,0
BUE-0754,Zona Norte,80,48,2,0
BUE-0755,Zona Norte,71,35,1,0
BUE-0756,Zona Norte,20,67,0,0
BUE-0757,Centro,17,77,2,1
BUE-0758,Zona Leste,93,104,4,1
BUE-0759,Centro,63,40,10,1
BUE-0760,Zona Leste,81,88,1,1
BUE-0761,Zona Norte,94,118,2,1
BUE-0762,Zona Norte,37,61,3,0
BUE-0763,Centro,31,113,6,0
BUE-0764,Centro,10,9,2,0
BUE-0765,Zona Leste,44,20,8,0
BUE-0766,Zona Oeste,88,35,7,0
BUE-0767,Zona Leste,32,11,3,0
BUE-0768,Centro,40,90,0,0
BUE-0769,Centro,7,103,0,0
BUE-0770,Zona Sul,10,1,0,0
BUE-0771,Centro,85,117,0,1
BUE-0772,Zona Sul,50,12,7,0
BUE-0773,Zona Oeste,87,52,2,1
BUE-0774,Zona Leste,40,31,5,0
BUE-0775,Zona Leste,16,94,2,1
BUE-0776,Zona Sul,75,15,10,0
BUE-0777,Zona Leste,45,31,4,0
BUE-0778,Centro,31,31,6,0
BUE-0779,Zona Norte,78,97,1,1
BUE-0780,Zona Sul,79,10,5,0
BUE-0781,Zona Leste,53,9,5,0
BUE-0782,Zona Sul,85,14,10,1
BUE-0783,Zona Sul,91,16,2,0
BUE-0784,Zona Norte,19,39,5,0
BUE-0785,Centro,32,17,9,0
BUE-0786,Zona Sul,73,54,9,0
BUE-0787,Zona Leste,39,72,4,1
BUE-0788,Zona Oeste,31,24,1,0
BUE-0789,Zona Sul,96,103,8,1
BUE-0790,Zona Sul,1,58,7,0
BUE-0791,Zona Norte,96,77,2,1
BUE-0792,Centro,32,88,7,0
BUE-0793,Zona Oeste,76,113,8,1
BUE-0794,Zona Leste,29,21,2,0
BUE-0795,Zona Oeste,32,115,2,0
BUE-0796,Zona Leste,76,29,1,0
BUE-0797,Centro,25,83,7,1
BUE-0798,Zona Leste,21,84,9,0
BUE-0799,Zona Norte,65,43,0,0
BUE-0800,Zona Norte,37,31,7,0
BUE-0801,Zona Norte,89,50,6,0
BUE-0802,Zona Norte,45,45,6,0
BUE-0803,Zona Oeste,14,112,2,0
BUE-0804,Centro,97,119,0,1
BUE-0805,Zona Leste,43,20,3,0
BUE-0806,Zona Leste,48,98,8,1
BUE-0807,Zona Norte,74,31,4,0
BUE-0808,Zona Norte,60,93,0,0
BUE-0809,Zona Sul,66,118,4,1
BUE-0810,Centro,5,38,7,0
BUE-0811,Zona Oeste,8,112,7,0
BUE-0812,Zona Leste,5,11,4,0
BUE-0813,Zona Sul,72,104,8,1
BUE-0814,Zona Sul,94,46,0,0
BUE-0815,Zona Leste,31,17,3,0
BUE-0816,Zona Oeste,40,20,2,0
BUE-0817,Zona Sul,75,12,1,0
BUE-0818,Zona Sul,7,20,7,0
BUE-0819,Centro,71,7,6,0
BUE-0820,Zona Oeste,49,45,8,0
BUE-0821,Zona Sul,91,103,1,1
BUE-0822,Zona Oeste,61,109,3,1
BUE-0823,Zona Leste,83,6,5,0
BUE-0824,Zona Norte,61,22,10,0
BUE-0825,Zona Sul,6,107,2,0
BUE-0826,Centro,74,95,7,1
BUE-0827,Zona Leste,83,74,2,0
BUE-0828,Zona Oeste,79,85,1,1
BUE-0829,Zona Leste,3,21,2,0
BUE-0830,Zona Sul,5,106,10,1
BUE-0831,Zona Oeste,57,88,5,1
BUE-0832,Zona Norte,21,21,1,0
BUE-0833,Zona Leste,25,91,7,0
BUE-0834,Zona Sul,2,28,0,0
BUE-0835,Centro,40,12,6,0
BUE-0836,Zona Oeste,59,81,1,0
BUE-0837,Zona Leste,13,1,9,0
BUE-0838,Zona Leste,74,28,5,0
BUE-0839,Zona Norte,81,84,1,1
BUE-0840,Zona Norte,11,78,1,0
BUE-0841,Centro,86,51,9,1
BUE-0842,Centro,11,26,7,0
BUE-0843,Zona Sul,12,49,1,0
BUE-0844,Zona Sul,24,94,6,1
BUE-0845,Centro,44,78,2,0
BUE-0846,Centro,18,114,7,0
BUE-0847,Zona Oeste,54,22,6,0
BUE-0848,Zona Norte,99,87,7,1
BUE-0849,Zona Sul,44,43,6,0
BUE-0850,Zona Norte,7,76,10,0
BUE-0851,Zona Norte,92,21,5,0
BUE-0852,Centro,52,42,6,0
BUE-0853,Zona Oeste,54,36,4,0
BUE-0854,Zona Leste,31,60,6,0
BUE-0855,Zona Oeste,50,96,0,0
BUE-0856,Zona Oeste,43,55,0,0
BUE-0857,Zona Norte,81,2,8,0
BUE-0858,Zona Oeste,69,62,4,1
BUE-0859,Zona Sul,17,117,4,0
BUE-0860,Zona Norte,82,18,2,0
BUE-0861,Zona Sul,21,22,4,0
BUE-0862,Zona Leste,36,28,2,0
BUE-0863,Zona Norte,95,29,8,1
BUE-0864,Zona Leste,55,38,8,0
BUE-0865,Zona Norte,58,107,5,1
BUE-0866,Centro,2,110,0,0
BUE-0867,Zona Oeste,27,24,6,0
BUE-0868,Centro,73,100,6,1
BUE-0869,Zona Leste,34,110,9,1
BUE-0870,Zona Oeste,60,7,9,0
BUE-0871,Zona Norte,92,105,3,1
BUE-0872,Zona Oeste,53,57,7,0
BUE-0873,Zona Sul,62,15,5,0
BUE-0874,Zona Oeste,78,71,3,1
BUE-0875,Zona Sul,96,0,3,0
BUE-0876,Zona Oeste,6,107,1,0
BUE-0877,Zona Sul,75,4,1,0
BUE-0878,Zona Leste,48,2,3,0
BUE-0879,Centro,93,64,4,1
BUE-0880,Zona Norte,84,3,7,0
BUE-0881,Zona Oeste,30,103,5,1
BUE-0882,Centro,57,98,3,1
BUE-0883,Zona Norte,60,95,10,1
BUE-0884,Zona Norte,23,63,6,0
BUE-0885,Zona Sul,19,105,7,0
BUE-0886,Zona Leste,36,97,1,0
BUE-0887,Zona Leste,3,106,6,1
BUE-0888,Centro,91,88,1,1
BUE-0889,Zona Leste,19,9,1,0
BUE-0890,Zona Oeste,59,20,7,0
BUE-0891,Zona Leste,23,45,1,0
BUE-0892,Centro,49,102,10,1
BUE-0893,Zona Leste,48,90,8,0
BUE-0894,Zona Oeste,50,26,0,0
BUE-0895,Zona Sul,95,65,8,1
BUE-0896,Centro,35,40,0,0
BUE-0897,Zona Sul,97,111,9,1
BUE-0898,Zona Sul,99,12,9,1
BUE-0899,Zona Sul,65,8,1,0
BUE-0900,Zona Norte,78,115,5,1
BUE-0901,Zona Norte,33,35,5,0
BUE-0902,Zona Sul,35,85,0,0
BUE-0903,Centro,5,105,6,0
BUE-0904,Zona Oeste,38,89,7,1
BUE-0905,Zona Oeste,41,57,1,0
BUE-0906,Zona Leste,57,53,7,1
BUE-0907,Centro,11,11,8,0
BUE-0908,Zona Norte,2,80,5,0
BUE-0909,Zona Sul,17,77,4,0
BUE-0910,Zona Leste,39,13,8,0
BUE-0911,Zona Oeste,20,33,10,0
BUE-0912,Zona Norte,14,52,8,0
BUE-0913,Zona Norte,96,19,0,0
BUE-0914,Zona Sul,98,74,10,1
BUE-0915,Zona Oeste,25,15,2,0
BUE-0916,Centro,7,114,8,1
BUE-0917,Zona Norte,99,94,10,1
BUE-0918,Zona Sul,93,118,1,1
BUE-0919,Centro,86,69,3,1
BUE-0920,Zona Oeste,41,55,3,0
BUE-0921,Zona Norte,43,82,1,0
BUE-0922,Centro,13,100,2,0
BUE-0923,Centro,77,57,2,0
BUE-0924,Centro,1,3,0,0
BUE-0925,Zona Norte,36,110,5,1
BUE-0926,Zona Norte,68,3,7,0
BUE-0927,Zona Leste,37,19,2,0
BUE-0928,Zona Oeste,40,9,4,0
BUE-0929,Zona Sul,61,23,0,0
BUE-0930,Centro,59,117,9,1
BUE-0931,Zona Leste,13,98,6,0
BUE-0932,Zona Sul,88,25,9,1
BUE-0933,Zona Leste,83,36,0,0
BUE-0934,Zona Norte,1,101,10,0
BUE-0935,Centro,69,84,8,1
BUE-0936,Zona Sul,16,53,7,0
BUE-0937,Zona Sul,88,103,6,1
BUE-0938,Zona Sul,27,102,9,1
BUE-0939,Zona Sul,65,20,6,0
BUE-0940,Zona Sul,34,73,4,0
BUE-0941,Zona Leste,100,37,4,0
BUE-0942,Centro,4,45,10,0
BUE-0943,Zona Norte,64,3,4,0
BUE-0944,Zona Norte,39,59,0,0
BUE-0945,Zona Norte,75,56,7,1
BUE-0946,Zona Norte,55,44,10,0
BUE-0947,Zona Leste,35,19,0,0
BUE-0948,Zona Oeste,44,16,3,0
BUE-0949,Centro,22,118,8,0
BUE-0950,Zona Sul,46,70,8,1
BUE-0951,Zona Oeste,30,3,4,0
BUE-0952,Zona Norte,10,92,3,0
BUE-0953,Zona Oeste,9,13,2,0
BUE-0954,Centro,66,2,2,0
BUE-0955,Zona Sul,13,87,4,0
BUE-0956,Zona Sul,79,100,9,1
BUE-0957,Centro,73,79,0,0
BUE-0958,Centro,92,57,4,1
BUE-0959,Zona Norte,9,54,5,0
BUE-0960,Zona Sul,75,115,6,1
BUE-0961,Zona Oeste,93,3,8,0
BUE-0962,Zona Leste,0,119,2,0
BUE-0963,Zona Leste,4,23,1,0
BUE-0964,Centro,19,33,2,0
BUE-0965,Zona Norte,7,29,8,0
BUE-0966,Zona Leste,42,81,6,0
BUE-0967,Zona Sul,75,18,8,0
BUE-0968,Centro,0,30,1,0
BUE-0969,Zona Oeste,56,59,4,0
BUE-0970,Centro,63,59,3,0
BUE-0971,Zona Oeste,83,18,1,0
BUE-0972,Centro,27,48,8,0
BUE-0973,Centro,36,62,8,0
BUE-0974,Centro,46,109,5,1
BUE-0975,Zona Oeste,100,82,10,1
BUE-0976,Zona Oeste,75,21,5,0
BUE-0977,Centro,36,23,7,0
BUE-0978,Zona Leste,48,108,5,1
BUE-0979,Zona Norte,43,75,0,0
BUE-0980,Zona Norte,55,29,3,0
BUE-0981,Zona Norte,27,57,6,0
BUE-0982,Zona Oeste,78,101,1,1
BUE-0983,Zona Oeste,5,116,8,0
BUE-0984,Zona Leste,60,30,7,0
BUE-0985,Zona Norte,19,99,7,0
BUE-0986,Zona Norte,77,63,6,1
BUE-0987,Centro,1,18,3,0
BUE-0988,Zona Oeste,72,47,1,0
BUE-0989,Zona Norte,36,44,2,0
BUE-0990,Zona Leste,19,99,5,0
BUE-0991,Zona Leste,25,93,4,0
BUE-0992,Zona Norte,28,54,7,0
BUE-0993,Zona Oeste,0,112,5,0
BUE-0994,Zona Leste,34,54,5,0
BUE-0995,Centro,69,96,0,1
BUE-0996,Zona Leste,100,17,3,0
BUE-0997,Zona Sul,58,62,4,0
BUE-0998,Zona Sul,68,115,10,1
BUE-0999,Zona Oeste,32,112,2,0
BUE-1000,Zona Norte,50,91,8,1
